Address,Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude
" Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,1 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,5,16.0484714,108.2406022
" Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,16.0595231,108.179155
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 15 tỷ , 153 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,27m,3,16.0756243,108.2319079
" Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,14m,7m,1,16.0334743,108.2218767
" Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,5,16.0766319,108.2329889
" Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,16.0366455,108.2211218
" Đường Huỳnh Tịnh Của, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 2,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,15.9921331,108.2064071
" Đường Huỳnh Thị Bảo Hòa, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0494345,108.1483198
" Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,16.0199418,108.207474
" Đường Tôn Đức Thắng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng", 25 tỷ , 313 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,48m,4,16.0705872,108.1527666
" Đường Hóa Mỹ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,16.0302822,108.2128971
" Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 4,6 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3,,
" Đường Phước Lý 6, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0414482,108.1675716
" Đường Hoà Minh 15, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,2 tỷ ", 75 m2,_,Nhà mặt tiền,---,5m,15m,3,16.0805678,108.1589765
" Đường Lý Triện, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 6,6 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,16.0585049,108.185654
" Đường Thanh Lương 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,16.0077874,108.2280883
" Đường Hóa Mỹ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2,16.0302822,108.2128971
" Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,16.0009105,108.2130994
" Đường Phước Lý 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,75 tỷ ", 113 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,23m,3,16.0428383,108.1690992
" Đường Thích Quảng Đức, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 6,9 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,24m,3,,
" Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,8 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,3,16.0009105,108.2130994
" Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,75 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,3,16.0093672,108.2225957
" Đường Nguyễn Hồng Ánh, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 6,4 tỷ ", 95 m2,_,Nhà mặt tiền,---,5m,19m,3,15.9975739,108.2002439
" Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 2,75 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,16.0698397,108.2115701
" Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 2,6 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0554848,108.1553766
" Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 3,8 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",12m,3,16.0672041,108.2443275
" Đường Ngô Chân Lưu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,35 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"17,5m",3,16.0604801,108.165628
" Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 2,55 tỷ ", 80 m2,_,Nhà trong hẻm,---,5m,16m,2,16.0723048,108.1472133
" Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 1,75 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",16m,1,16.041122,108.184901
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,69 tỷ ", 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,3,16.0583615,108.1683251
