Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,1 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,5
" Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 15 tỷ , 153 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,27m,3
" Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,14m,7m,1
" Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,5
" Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Huỳnh Tịnh Của, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 2,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Huỳnh Thị Bảo Hòa, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Tôn Đức Thắng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng", 25 tỷ , 313 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,48m,4
" Đường Hóa Mỹ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,2
" Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 4,6 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3
" Đường Phước Lý 6, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Hoà Minh 15, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,2 tỷ ", 75 m2,_,Nhà mặt tiền,---,5m,15m,3
" Đường Lý Triện, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 6,6 tỷ ", 105 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3
" Đường Thanh Lương 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Hóa Mỹ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2
" Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Phước Lý 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,75 tỷ ", 113 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,23m,3
" Đường Thích Quảng Đức, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 6,9 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,24m,3
" Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,8 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,3
" Đường Phạm Xuân Ẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,75 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,3
" Đường Nguyễn Hồng Ánh, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 6,4 tỷ ", 95 m2,_,Nhà mặt tiền,---,5m,19m,3
" Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 2,75 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2
" Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 2,6 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 3,8 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",12m,3
" Đường Ngô Chân Lưu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,35 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"17,5m",3
" Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 2,55 tỷ ", 80 m2,_,Nhà trong hẻm,---,5m,16m,2
" Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 1,75 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",16m,1
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,69 tỷ ", 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,3
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 5,95 tỷ ", 132 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,8m",23m,3
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 6 tỷ , 150 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,25m,3
" Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,8 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,12m,1
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 2,55 tỷ ", 65 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2
" Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,2
" Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 2,15 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 3,65 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",18m,1
" Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 1,65 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",14m,1
" Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,7 tỷ ", 120 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,24m,2
