price,area,road_width,floors,bedroom,loc,garage
2.1,3.0,1.0,2.0,2.0,"Đường Trần Bình Trọng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",0
2.85,37.0,25.0,3.0,3.0,"Đường Nguyễn Chí Thanh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",0
2.67,37.0,3.0,2.0,2.0,"Đường Hùng Vương, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",0
3.0,59.0,25.0,3.0,3.0,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",0
2.8,39.0,2.0,3.0,3.0,"Đường Hoàng Diệu, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
2.4,40.0,25.0,2.0,2.0,"Đường Hải Phòng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",0
2.15,40.0,25.0,2.0,3.0,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
2.45,34.0,25.0,3.0,2.0,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
2.8,45.0,25.0,2.0,2.0,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
2.95,43.0,3.0,3.0,3.0,"Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",0
2.85,48.0,25.0,2.0,2.0,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",0
2.75,60.0,25.0,2.0,2.0,"Đường Phạm Ngũ Lão, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",0
2.8,47.0,3.0,2.0,2.0,"Đường Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",0
2.25,63.0,2.0,2.0,2.0,"Đường Nguyễn Hoàng, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",0
2.45,37.0,25.0,2.0,2.0,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
3.0,73.0,2.0,2.0,2.0,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
2.4,7.0,3.0,2.0,2.0,"Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
2.45,36.0,25.0,2.0,2.0,"Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",0
2.7,48.0,4.0,1.0,2.0,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
2.15,37.0,25.0,1.0,2.0,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",0
2.95,100.0,55.0,1.0,2.0,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
1.78,13.0,75.0,2.0,1.0,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",0
3.9,70.0,55.0,3.0,6.0,"Đường Bình Hòa 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
3.55,109.0,75.0,1.0,1.0,"Đường Nguyễn Công Hoan, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
3.95,86.0,55.0,3.0,4.0,"Đường Hòa An 8, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
2.7,104.0,25.0,2.0,3.0,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
3.8,105.0,4.0,2.0,2.0,"Đường Phan Khoang, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",0
2.9,80.0,25.0,2.0,6.0,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
2.1,68.0,25.0,1.0,2.0,"Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",0
1.5,60.0,4.0,1.0,1.0,"Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng",0
3.0,105.0,25.0,1.0,2.0,"Đường Ông Ích Đường, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
2.95,100.0,25.0,1.0,2.0,"Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",0
