Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport,Prices_normalized,prices_capped,log_prices,Area_capped,log_Area,floors_capped,width_capped,log_width,length_capped,log_length
4.1,60.0,Không,1,1,4.5,15.0,5,16.0484714,108.2406022, An Thượng 18,Mỹ An,ngũ hành sơn,1,1.9630535990868956,3.3373555285958,4.173249433381312,0.009872611464968152,4.1,1.410986973710262,60.0,4.0943445622221,5,4.5,1.5040773967762742,15.0,2.70805020110221
3.3,90.0,Không,1,1,5.0,18.0,2,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,2,7.342261974734708,3.4761945440084063,2.528594798354249,0.007324840764331209,3.3,1.1939224684724346,90.0,4.499809670330265,2,5.0,1.6094379124341003,18.0,2.8903717578961645
15.0,153.0,Không,1,1,6.0,27.0,3,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,3,2.0522137939375127,2.796568797472516,3.733505998421484,0.044585987261146494,15.0,2.70805020110221,153.0,5.030437921392435,3,6.0,1.791759469228055,27.0,3.295836866004329
6.5,90.0,Không,1,1,14.0,7.0,1,16.0334743,108.2218767, Tiên Sơn 10,Hòa Cường Nam,hải châu,4,4.4308393785108064,3.098364942182785,3.3360939696302885,0.01751592356687898,6.5,1.8718021769015913,90.0,4.499809670330265,1,14.0,2.6390573296152584,7.0,1.9459101490553132
11.0,100.0,Không,1,1,5.0,20.0,5,16.0766319,108.2329889, Hoàng Đức Lương,An Hải Bắc,sơn trà,3,2.0285804698849543,2.956690879373904,3.8913844027825344,0.03184713375796178,11.0,2.3978952727983707,100.0,4.605170185988092,5,5.0,1.6094379124341003,20.0,2.995732273553991
7.2,100.0,Không,1,1,5.0,20.0,3,16.0366455,108.2211218, Tiên Sơn 8,Hòa Cường Nam,hải châu,4,4.214947052772332,2.7419693794412834,3.013796631241829,0.019745222929936305,7.2,1.9740810260220096,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
2.9,100.0,Không,1,1,5.0,20.0,2,15.9921331,108.2064071, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,5,9.176493365212188,7.4940639923443,7.213283757067011,0.006050955414012738,2.9,1.0647107369924282,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
3.5,100.0,Không,1,1,5.0,20.0,2,16.0494345,108.1483198, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,6,10.754737983679991,6.869715018951979,5.878732249688591,0.007961783439490446,3.5,1.252762968495368,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
4.7,100.0,Không,1,1,5.0,20.0,3,16.0199418,108.207474, Lưu Nhân Chú,Khuê Trung,cẩm lệ,2,6.567421705172774,4.418387202068741,4.156857940946859,0.01178343949044586,4.7,1.547562508716013,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
25.0,313.0,Không,1,1,7.0,48.0,4,16.0705872,108.1527666, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,6,10.161087742443131,6.414493194001564,5.540379991525375,0.07643312101910828,25.0,3.2188758248682006,276.2692297258002,5.746203190540153,4,7.0,1.9459101490553132,48.0,3.871201010907891
4.7,80.0,Không,1,1,4.5,15.0,2,16.0302822,108.2128971, Hóa Mỹ,Khuê Trung,cẩm lệ,2,5.330664885991734,3.2543363029306933,3.175366210109518,0.01178343949044586,4.7,1.547562508716013,80.0,4.382026634673881,2,4.5,1.5040773967762742,15.0,2.70805020110221
3.5,105.0,Không,1,1,5.0,20.0,2,16.0414482,108.1675716, Phước Lý 6,Hòa Minh,liên chiểu,6,8.942538929458276,5.128648492794901,4.140951408162975,0.007961783439490446,3.5,1.252762968495368,105.0,4.653960350157523,2,5.0,1.6094379124341003,20.0,2.995732273553991
5.2,75.0,Không,1,0,5.0,15.0,3,16.0805678,108.1589765, Hoà Minh 15,Hòa Minh,liên chiểu,6,9.634316316936028,6.09125443800974,5.341228009145581,0.01337579617834395,5.2,1.6486586255873816,75.0,4.31748811353631,3,5.0,1.6094379124341003,15.0,2.70805020110221
6.6,105.0,Không,1,1,5.0,22.0,3,16.0585049,108.185654, Lý Triện,An Khê,thanh khê,7,6.660404026000368,2.783721542377011,1.8258467802323877,0.017834394904458598,6.6,1.8870696490323797,105.0,4.653960350157523,3,5.0,1.6094379124341003,22.0,3.091042453358316
5.7,100.0,Không,1,1,5.0,20.0,3,16.0077874,108.2280883, Thanh Lương 8,Hòa Xuân,cẩm lệ,2,6.653270170396843,6.00455871554334,6.109145890598027,0.014968152866242038,5.7,1.7404661748405046,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
4.7,80.0,Không,1,1,5.0,14.0,2,16.0302822,108.2128971, Hóa Mỹ,Khuê Trung,cẩm lệ,2,5.330664885991734,3.2543363029306933,3.175366210109518,0.01178343949044586,4.7,1.547562508716013,80.0,4.382026634673881,2,5.0,1.6094379124341003,14.0,2.6390573296152584
6.7,100.0,Không,1,1,5.0,20.0,3,16.0009105,108.2130994, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,2,7.982278306406917,6.503671979037734,6.3301303601758665,0.018152866242038216,6.7,1.9021075263969205,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
3.75,113.0,Không,1,1,5.0,23.0,3,16.0428383,108.1690992, Phước Lý 5,Hòa Minh,liên chiểu,6,8.742024245644506,4.918467305409218,3.9285089676563874,0.00875796178343949,3.75,1.3217558399823195,113.0,4.727387818712341,3,5.0,1.6094379124341003,23.0,3.1354942159291497
6.8,100.0,Không,1,0,5.0,20.0,3,16.0009105,108.2130994, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,2,7.982278306406917,6.503671979037734,6.3301303601758665,0.018471337579617834,6.8,1.916922612182061,100.0,4.605170185988092,3,5.0,1.6094379124341003,20.0,2.995732273553991
4.75,120.0,Không,1,1,5.0,24.0,3,16.0093672,108.2225957, Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,2,6.699318911934934,5.688098180830738,5.708483162565261,0.01194267515923567,4.75,1.55814461804655,120.0,4.787491742782046,3,5.0,1.6094379124341003,24.0,3.1780538303479458
6.4,95.0,Không,1,0,5.0,19.0,3,15.9975739,108.2002439, Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,5,9.006565799174593,6.978455406345205,6.605174206546393,0.017197452229299363,6.4,1.8562979903656263,95.0,4.553876891600541,3,5.0,1.6094379124341003,19.0,2.9444389791664403
2.75,60.0,Không,0,1,4.5,15.0,2,16.0698397,108.2115701, Lê Duẩn,Tân Chính,thanh khê,7,3.88841536044275,1.1258653402444132,1.690805522306393,0.005573248407643312,2.75,1.0116009116784799,60.0,4.0943445622221,2,4.5,1.5040773967762742,15.0,2.70805020110221
2.6,100.0,Không,0,1,5.0,20.0,2,16.0554848,108.1553766, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,6,9.917383246685455,6.03832112693159,5.063737357990122,0.005095541401273886,2.6,0.9555114450274363,100.0,4.605170185988092,2,5.0,1.6094379124341003,20.0,2.995732273553991
3.8,50.0,Không,0,1,4.5,12.0,3,16.0672041,108.2443275, Hà Bổng,Phước Mỹ,sơn trà,3,0.4293659485725036,3.5955084989864625,4.592833762470426,0.008917197452229299,3.8,1.33500106673234,50.0,3.912023005428146,3,4.5,1.5040773967762742,12.0,2.4849066497880004
