price,area,road_width,floors,bedroom,garage,latitude,longitude,District,distance_to_beach,distance_to_center,distance_to_airport
2.1,3.0,1.0,2.0,2.0,0,16.0661366,108.2194208,1,2.892327329984249,0.5670632595154845,2.092049685308696
2.85,37.0,25.0,3.0,3.0,0,16.0732065,108.220864,1,2.721553945415526,1.25939996510533,2.7592750808866806
2.67,37.0,3.0,2.0,2.0,0,16.0686013,108.2226062,1,2.5220455544553433,0.7385696062544032,2.5284705438150645
3.0,59.0,25.0,3.0,3.0,0,16.0590007,108.2212969,1,2.9328827156797974,0.34655550612864255,1.8860903876318214
2.4,40.0,25.0,2.0,2.0,0,16.0727146,108.2207936,1,2.7230459503176716,1.2065629709364996,2.712643845868746
2.15,40.0,25.0,2.0,3.0,0,16.0196547,108.2034422,2,7.224941451260469,5.100922112308704,3.798899308189653
2.45,34.0,25.0,3.0,2.0,0,16.064816,108.2159486,1,3.2833476791334197,0.7650835020555083,1.7183467403319708
2.8,45.0,25.0,2.0,2.0,0,16.064816,108.2159486,1,3.2833476791334197,0.7650835020555083,1.7183467403319708
2.95,43.0,3.0,3.0,3.0,0,16.0630061,108.2157724,1,3.3441759688065176,0.7239215325537861,1.5703770229417024
2.85,48.0,25.0,2.0,2.0,0,16.0604416,108.2143597,1,3.567005875638402,0.8807186908191079,1.27901813976112
2.75,60.0,25.0,2.0,2.0,0,16.0668916,108.2149716,1,3.3529935191935816,0.9701247186527368,1.8194994354076568
2.8,47.0,3.0,2.0,2.0,0,16.0641444,108.2200466,1,2.8700009485817524,0.35496654717416093,2.012620154530619
2.25,63.0,2.0,2.0,2.0,0,16.0592016,108.2131098,1,3.7372507458755715,1.0435422696731602,1.092068558332857
2.45,37.0,25.0,2.0,2.0,0,16.0514959,108.2191998,1,3.5498654146483286,1.2056125826464674,1.6012968314658111
3.0,73.0,2.0,2.0,2.0,0,16.0514959,108.2191998,1,3.5498654146483286,1.2056125826464674,1.6012968314658111
2.4,7.0,3.0,2.0,2.0,0,16.0508258,108.2163405,1,3.843274811478517,1.3915302294265786,1.3184985962198807
2.45,36.0,25.0,2.0,2.0,0,16.0562861,108.217152,1,3.462987950868189,0.8430574193425245,1.382520454243423
2.95,100.0,55.0,1.0,2.0,0,16.041122,108.184901,2,7.300358969740341,4.63054222834679,2.5298626178683956
1.78,13.0,75.0,2.0,1.0,0,16.0606335,108.2093442,3,4.075884555794914,1.4091809357752854,0.9040297695744645
3.9,70.0,55.0,3.0,6.0,0,16.0247444,108.2132148,2,6.144311034553478,4.231703406987906,3.367224640706944
3.55,109.0,75.0,1.0,1.0,0,16.047518,108.1762504,2,7.887651493089931,5.193991186742518,3.1014860107355133
3.95,86.0,55.0,3.0,4.0,0,16.05857,108.174944,2,7.724262484053857,5.0963497434211265,3.1986381618008832
2.7,104.0,25.0,2.0,3.0,0,16.041122,108.184901,2,7.300358969740341,4.63054222834679,2.5298626178683956
3.8,105.0,4.0,2.0,2.0,0,16.0469583,108.1789684,2,7.633268522780868,4.938445856203561,2.8355710389382254
2.9,80.0,25.0,2.0,6.0,0,16.041122,108.184901,2,7.300358969740341,4.63054222834679,2.5298626178683956
