Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,District_Mapped,distance_to_beach,distance_to_center,distance_to_airport
4.1,60.0,Không,1,1,4.5,15.0,5,16.0484714,108.2406022, An Thượng 18,Mỹ An,ngũ hành sơn,1,1.9630535990868954,3.3373555285957996,4.1732494333813115
3.3,90.0,Không,1,1,5.0,18.0,2,16.0595231,108.179155, Trường Chinh,Hòa An,cẩm lệ,2,7.342261974734708,3.4761945440084063,2.528594798354249
15.0,153.0,Không,1,1,6.0,27.0,3,16.0756243,108.2319079, Ngô Quyền,An Hải Bắc,sơn trà,3,2.0522137939375127,2.796568797472516,3.733505998421484
6.5,90.0,Không,1,1,14.0,7.0,1,16.0334743,108.2218767, Tiên Sơn 10,Hòa Cường Nam,hải châu,4,4.4308393785108064,3.0983649421827852,3.3360939696302885
11.0,100.0,Không,1,1,5.0,20.0,5,16.0766319,108.2329889, Hoàng Đức Lương,An Hải Bắc,sơn trà,3,2.0285804698849543,2.956690879373904,3.8913844027825344
7.2,100.0,Không,1,1,5.0,20.0,3,16.0366455,108.2211218, Tiên Sơn 8,Hòa Cường Nam,hải châu,4,4.214947052772332,2.7419693794412834,3.013796631241829
2.9,100.0,Không,1,1,5.0,20.0,2,15.9921331,108.2064071, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,5,9.176493365212187,7.4940639923443,7.213283757067011
3.5,100.0,Không,1,1,5.0,20.0,2,16.0494345,108.1483198, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,6,10.754737983679991,6.869715018951979,5.878732249688591
4.7,100.0,Không,1,1,5.0,20.0,3,16.0199418,108.207474, Lưu Nhân Chú,Khuê Trung,cẩm lệ,2,6.567421705172774,4.418387202068741,4.156857940946859
25.0,313.0,Không,1,1,7.0,48.0,4,16.0705872,108.1527666, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,6,10.161087742443131,6.414493194001564,5.540379991525375
4.7,80.0,Không,1,1,4.5,15.0,2,16.0302822,108.2128971, Hóa Mỹ,Khuê Trung,cẩm lệ,2,5.330664885991734,3.2543363029306933,3.175366210109518
3.5,105.0,Không,1,1,5.0,20.0,2,16.0414482,108.1675716, Phước Lý 6,Hòa Minh,liên chiểu,6,8.942538929458276,5.128648492794901,4.140951408162975
5.2,75.0,Không,1,0,5.0,15.0,3,16.0805678,108.1589765, Hoà Minh 15,Hòa Minh,liên chiểu,6,9.634316316936028,6.09125443800974,5.341228009145581
6.6,105.0,Không,1,1,5.0,22.0,3,16.0585049,108.185654, Lý Triện,An Khê,thanh khê,7,6.660404026000368,2.783721542377011,1.8258467802323874
5.7,100.0,Không,1,1,5.0,20.0,3,16.0077874,108.2280883, Thanh Lương 8,Hòa Xuân,cẩm lệ,2,6.653270170396843,6.00455871554334,6.109145890598027
4.7,80.0,Không,1,1,5.0,14.0,2,16.0302822,108.2128971, Hóa Mỹ,Khuê Trung,cẩm lệ,2,5.330664885991734,3.2543363029306933,3.175366210109518
6.7,100.0,Không,1,1,5.0,20.0,3,16.0009105,108.2130994, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,2,7.982278306406917,6.503671979037734,6.3301303601758665
3.75,113.0,Không,1,1,5.0,23.0,3,16.0428383,108.1690992, Phước Lý 5,Hòa Minh,liên chiểu,6,8.742024245644506,4.918467305409218,3.9285089676563874
6.8,100.0,Không,1,0,5.0,20.0,3,16.0009105,108.2130994, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,2,7.982278306406917,6.503671979037734,6.3301303601758665
4.75,120.0,Không,1,1,5.0,24.0,3,16.0093672,108.2225957, Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,2,6.699318911934934,5.688098180830738,5.708483162565261
6.4,95.0,Không,1,0,5.0,19.0,3,15.9975739,108.2002439, Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,5,9.006565799174593,6.978455406345205,6.605174206546393
2.75,60.0,Không,0,1,4.5,15.0,2,16.0698397,108.2115701, Lê Duẩn,Tân Chính,thanh khê,7,3.88841536044275,1.1258653402444132,1.690805522306393
2.6,100.0,Không,0,1,5.0,20.0,2,16.0554848,108.1553766, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,6,9.917383246685457,6.03832112693159,5.063737357990122
3.8,50.0,Không,0,1,4.5,12.0,3,16.0672041,108.2443275, Hà Bổng,Phước Mỹ,sơn trà,3,0.42936594857250365,3.5955084989864625,4.592833762470426
