price,area,road_width,floors,bedroom,loc,garage
": 2,1 tỷ","32 m
2",1m,2 lầu,2 phòng ngủ,"Đường Trần Bình Trọng, Phường Hải Châu I, Quận Hải Châu,",0
": 2,85 tỷ","37 m
2","2,5m",3 lầu,3 phòng ngủ,"Đường Nguyễn Chí Thanh, Phường Hải Châu I, Quận Hải Châu,",0
": 2,67 tỷ","37 m
2",3m,2 lầu,2 phòng ngủ,"Đường Hùng Vương, Phường Hải Châu I, Quận Hải Châu,",0
: 3 tỷ,"59 m
2","2,5m",3 lầu,3 phòng ngủ,"Đường Trưng Nữ Vương, Phường Bình Hiên, Quận Hải Châu,",0
": 2,8 tỷ","39 m
2",2m,3 lầu,3 phòng ngủ,"Đường Hoàng Diệu, Phường Hải Châu II, Quận Hải Châu,",0
": 2,4 tỷ","40 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Hải Phòng, Phường Hải Châu I, Quận Hải Châu,",0
": 2,15 tỷ","40 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 2,45 tỷ","34 m
2","2,5m",3 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 2,8 tỷ","45 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Cô Bắc, Phường Hải Châu II, Quận Hải Châu,",0
": 2,95 tỷ","43 m
2",3m,3 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Nam Dương, Quận Hải Châu,",0
": 2,85 tỷ","48 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,",0
": 2,75 tỷ","60 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Phạm Ngũ Lão, Phường Hải Châu II, Quận Hải Châu,",0
": 2,8 tỷ","47 m
2",3m,2 lầu,2 phòng ngủ,"Đường Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu,",0
": 2,25 tỷ","63 m
2",2m,2 lầu,2 phòng ngủ,"Đường Nguyễn Hoàng, Phường Nam Dương, Quận Hải Châu,",0
": 2,45 tỷ","37 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
: 3 tỷ,"73 m
2",2m,2 lầu,2 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",0
