price,area,Loại BĐS:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng tắm:,Số tầng:,Vị trí:,Hướng cửa chính:,Đường/hẻm vào rộng:,Loại đường:,Loại BDS:,Pháp lý:
6.9 tỷ,81.9m²,"Nhà riêng, nhà phố",3.7m,25.9m,3,1,1,Đường chính,Tây Nam,7m,Đường nhựa,,
14 tỷ,68.6m²,"Nhà riêng, nhà phố",8.46m,8.4m,7,7,4,Đường chính,Đông,10m,Đường nhựa,,
27.5 tỷ,105m²,"Nhà riêng, nhà phố",4.5m,,,,3,,Bắc,,,,Có sổ hồng
5.5 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
4.9 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,4,3,3,Đường chính,Tây Nam,7m,Đường nhựa,,
16.7 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,3,Đường chính,Tây Bắc,30m,Đường nhựa,,Có sổ đỏ
1.58 tỷ,27.9m²,"Nhà riêng, nhà phố",6.45m,5m,1,,1,Trong hẻm,Nam,50m,Đường bê tông,,
4.2 tỷ,107m²,"Nhà riêng, nhà phố",5m,21.5m,,,2,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,2,Đường chính,Nam,,Đường nhựa,,Có sổ đỏ
3.1 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,1,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
4.2 tỷ,54m²,"Nhà riêng, nhà phố",4.5m,12m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
35 tỷ,275m²,"Nhà riêng, nhà phố",11m,25m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
110 tỷ,400m²,"Nhà riêng, nhà phố",20m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
2.15 tỷ,30m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
4.5 tỷ,150m²,"Nhà riêng, nhà phố",5.74m,26.4m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
4.4 tỷ,75m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
6.9 tỷ,109m²,"Nhà riêng, nhà phố",5m,22m,,,1,Đường chính,Đông,6m,Đường nhựa,,Có sổ đỏ
13.8 tỷ,101m²,"Nhà riêng, nhà phố",5m,20m,,,5,Đường chính,Đông,6m,Đường nhựa,,Có sổ đỏ
7 tỷ,95m²,"Nhà riêng, nhà phố",5m,19m,3,,3,Đường chính,Đông Nam,5.5m,Đường nhựa,,
5.4 tỷ,54m²,"Nhà riêng, nhà phố",4m,13.5m,,,4,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
