price,Diện tích,Phòng ngủ,Phòng tắm,Giấy tờ pháp lý,Số tầng,Chiều rộng,Chiều dài,Hiện trạng nhà,Năm xây dựng,Vị trí,Trạng thái sử dụng,Đường rộng,Hướng,Kết cấu
4.15 tỷ,99 m²,3,2,Sổ hồng,2,5.5 m,18 m,Nhà trống,,,,,,
15 tỷ,226 m²,3,5,Sổ đỏ,4,13 m,19 m,Đang ở,,,,,,
4.8 tỷ,125 m²,4,2,Sổ đỏ,3,5 m,25 m,Đang ở,,,,,,
15.5 tỷ,90 m²,13,14,Sổ hồng,,,,Có nội thất,2021,Mặt tiền,Đã qua sử dụng,7.5 m,,Nhà cấp 2
15 tỷ,300 m²,10,8,Sổ hồng,3,15 m,20 m,Có nội thất,,Mặt tiền,Đã qua sử dụng,7.5 m,,
10 tỷ,90 m²,10,11,Sổ hồng,,5 m,18 m,Đang ở,2021,Mặt tiền,,,,
9.6 tỷ,150 m²,2,1,Sổ đỏ,,12.5 m,12 m,,2021,Mặt tiền,Đã qua sử dụng,7.49 m,Đông,Biệt thự
4.19 tỷ,60 m²,2,1,Sổ hồng,1,4.5 m,13 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,5.49 m,Đông,Nhà cấp 4
22 tỷ,215 m²,5,5,Sổ đỏ,5+,,,Đang ở,,,,,,
22 tỷ,215 m²,5,5,Sổ đỏ,5+,,,Nhà trống,,,,,,
5.5 tỷ,80 m²,3,2,Sổ hồng,2,4.5 m,17.5 m,Đang ở,,,,,,
5.1 tỷ,77 m²,3,2,Sổ hồng,2,5.2 m,15 m,Đang ở,,,,,,
4.65 tỷ,100 m²,3,2,Sổ hồng,2,4.6 m,27.3 m,Nhà trống,,,,,,
5.4 tỷ,87 m²,5,5,Sổ hồng,4,4.3 m,21 m,Nhà trống,,,,,,
3.65 tỷ,80 m²,3,3,Sổ hồng,2,4.5 m,18 m,Nhà trống,,,,,,
6.5 tỷ,94 m²,4,4,Sổ hồng,4,5.5 m,17 m,Đang ở,,,,,,
6.5 tỷ,93 m²,4,5,Sổ đỏ,4,6 m,16 m,Đang ở,,,,,,
5.7 tỷ,99 m²,3,4,Sổ hồng,4,5.5 m,18 m,Nhà trống,,,,,,
22 tỷ,120 m²,,,,,,,,,,,,,
5.56 tỷ,70 m²,3,3,Sổ hồng,3,7 m,10 m,Nhà trống,,,,,,
11.3 tỷ,220 m²,,,Sổ đỏ,,10 m,22 m,Đang ở,,,,,,
