Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Pháp lý,Nội thất
46 m²,8 tỷ,4 tầng,4 phòng,4 phòng,16.0600869,108.2135481,,,,,,
47 m²,"3,15 tỷ",3 tầng,3 phòng,2 phòng,16.0594967,108.1858971,5 m,"2,5 m",Đông - Bắc,,Sổ đỏ/ Sổ hồng,Cơ bản
490 m²,Thỏa thuận,2 tầng,2 phòng,2 phòng,15.9926319122314,108.269371032715,,,,,Sổ đỏ/ Sổ hồng,Cơ bản
552 m²,24 tỷ,2 tầng,4 phòng,,16.0170230865479,108.260246276855,,,Đông - Nam,Tây,,
5.000 m²,Thỏa thuận,,,,15.9609806,108.2892688,180 m,33 m,Đông - Bắc,,Đang chờ sổ,
600 m²,360 tỷ,19 tầng,,,16.0575720434787,108.246475883573,15 m,,,,Sổ đỏ/ Sổ hồng,
180 m²,41 tỷ,,30 phòng,30 phòng,16.051608032001,108.245679303016,9 m,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
108 m²,"18,5 tỷ",,,,16.0883827209473,108.228889465332,,,,,,
115 m²,7 tỷ,7 tầng,6 phòng,7 phòng,16.05078125,108.232902526855,5 m,25 m,Đông - Nam,Đông - Nam,Hợp đồng mua bán,Không nội thất
"67,8 m²","5,7 tỷ",,2 phòng,,16.0883827209473,108.228889465332,,,,,,
100 m²,"3,3 tỷ",2 tầng,2 phòng,2 phòng,16.1070560810511,108.126565693084,5 m,"5,5 m",Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Cơ bản
88 m²,Thỏa thuận,3 tầng,4 phòng,4 phòng,16.0691068809478,108.23571235752,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ.
100 m²,"4,5 tỷ",3 tầng,3 phòng,2 phòng,16.0007151533804,108.212679629697,5 m,6 m,Tây,Tây,Sổ đỏ/ Sổ hồng.,Cơ bản
80 m²,"5,4 tỷ",1 tầng,2 phòng,1 phòng,16.0583357578055,108.238837746664,5 m,5 m,Đông,,Sổ đỏ/ Sổ hồng.,Cơ bản.
106 m²,"4,72 tỷ",2 tầng,3 phòng,3 phòng,16.0012993649555,108.21965764638,5 m,5 m,Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản.
106 m²,"4,72 tỷ",2 tầng,3 phòng,3 phòng,16.0012993649555,108.21965764638,5 m,5 m,Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản.
100 m²,"6,6 tỷ",2 tầng,3 phòng,3 phòng,16.0909448,108.2345243,5 m,"10,5 m",Đông - Bắc,Đông - Bắc,Sổ đỏ,Đầy đủ
100 m²,"6,6 tỷ",2 tầng,3 phòng,3 phòng,16.0909448,108.2345243,5 m,"10,5 m",Đông - Bắc,Đông - Bắc,Sổ đỏ,Đầy đủ
31 m²,"2,29 tỷ",2 tầng,2 phòng,2 phòng,16.0636725005936,108.218216708309,"5,7 m","2,5 m",,,Sổ đỏ/ Sổ hồng,
31 m²,"2,29 tỷ",2 tầng,2 phòng,2 phòng,16.0636725005936,108.218216708309,"5,7 m","2,5 m",,,Sổ đỏ/ Sổ hồng,
130 m²,"12,5 tỷ/m²",,2 phòng,2 phòng,16.0389875890187,108.217644549452,5 m,105 m,Đông - Bắc,,Sổ đỏ/ Sổ hồng,
31 m²,"2,29 tỷ",2 tầng,2 phòng,2 phòng,16.0636725005936,108.218216708309,"5,7 m","2,5 m",,,Sổ đỏ/ Sổ hồng,
130 m²,"12,5 tỷ/m²",,2 phòng,2 phòng,16.0389875890187,108.217644549452,5 m,105 m,Đông - Bắc,,Sổ đỏ/ Sổ hồng,
100 m²,"3,15 tỷ",1 tầng,2 phòng,1 phòng,15.9867001804401,108.237778994986,5 m,"7,5 m",Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ
100 m²,"4,9 tỷ",3 tầng,3 phòng,3 phòng,15.9869355378616,108.235893905913,5 m,"7,5 m",Đông - Bắc,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ.
"70,8 m²","7,05 tỷ",,2 phòng,2 phòng,16.0883827209473,108.228889465332,,,Tây,Tây,Hợp đồng mua bán,Không nội thất
"74,3 m²","7,2 tỷ",3 tầng,,,16.0476897,108.2466488,"4,5 m",,,,,
85 m²,"3,39 tỷ",3 tầng,3 phòng,3 phòng,16.0702784119167,108.180076887044,"4,6 m",3 m,Đông - Bắc,,Sổ đỏ/ Sổ hồng,
54 m²,"2,95 tỷ",2 tầng,2 phòng,2 phòng,16.0655888981644,108.187209360965,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"132,16 m²","11,5 tỷ",,2 phòng,2 phòng,20.9533882141113,107.003158569336,,,Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
100 m²,"6,2 tỷ",3 tầng,3 phòng,4 phòng,16.0176673504703,108.231154554235,5 m,"7,5 m",Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
272 m²,62 tỷ,10 tầng,32 phòng,32 phòng,16.0696226524358,108.243538899757,10 m,"10,5 m",,,Sổ đỏ/ Sổ hồng.,
92 m²,"6,15 tỷ",2 tầng,5 phòng,,16.0862220251095,108.216333104077,"5,3 m",7 m,Tây - Nam,,,
80 m²,"6,5 tỷ",3 tầng,4 phòng,4 phòng,16.0688529442596,108.235248896528,45 m,55 m,,,Sổ đỏ/ Sổ hồng,
80 m²,"6,5 tỷ",3 tầng,4 phòng,4 phòng,16.0688529442596,108.235248896528,45 m,55 m,,,Sổ đỏ/ Sổ hồng,
120 m²,"14,5 tỷ",4 tầng,5 phòng,7 phòng,16.033109664917,108.224235534668,6 m,75 m,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
"71,4 m²","4,7 tỷ",1 tầng,3 phòng,1 phòng,16.0602424,108.2430528,,6 m,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ
40 m²,"2,58 tỷ",2 tầng,1 phòng,2 phòng,16.0537847665442,108.211228149158,,3 m,,,Sổ đỏ/ Sổ hồng,
68 m²,"2,7 tỷ",2 tầng,3 phòng,2 phòng,16.04816526095,108.147077485219,5 m,3 m,,,Sổ đỏ/ Sổ hồng.,Không xác định.
